lead_time,market_segment_type,avg_price_per_room,booking_status,arrival_date,total_stay_nights
1,Corporate,41.0,0,2018-01-21,1
72,Online,119.0,1,2018-12-19,4
129,Online,135.9,1,2018-08-27,3
5,Offline,80.0,0,2018-12-18,4
61,Online,91.6,0,2018-12-08,2
162,Offline,112.0,1,2018-07-14,3
118,Online,6.0,0,2018-06-06,3
28,Online,89.0,0,2018-02-10,2
53,Online,85.85,0,2018-03-28,5
44,Online,113.52,1,2018-04-10,5
197,Online,81.77,1,2018-04-21,1
6,Online,118.0,0,2018-03-14,5
212,Online,84.31,1,2018-05-30,4
93,Online,159.3,1,2018-06-08,3
11,Online,70.3,0,2018-01-24,2
19,Online,126.0,0,2017-10-13,4
18,Online,121.0,0,2018-06-08,2
88,Online,108.0,0,2018-10-08,4
194,Online,76.85,0,2018-07-09,3
134,Online,105.3,0,2018-08-04,2
12,Online,106.0,1,2018-02-12,2
91,Online,118.8,1,2018-07-14,4
1,Online,12.0,1,2017-08-22,4
37,Online,94.36,1,2018-10-27,3
22,Online,120.0,0,2017-09-08,1
10,Online,126.0,0,2017-10-20,3
84,Offline,89.75,0,2018-04-29,3
221,Offline,73.0,0,2018-08-12,1
25,Online,75.6,0,2017-09-13,5
13,Online,96.0,0,2018-12-05,1
319,Online,113.9,1,2018-12-29,4
269,Offline,70.0,0,2018-12-29,5
43,Online,98.1,0,2018-09-07,1
11,Online,83.0,0,2018-06-13,1
2,Online,104.0,0,2018-06-14,2
152,Offline,72.25,0,2018-08-01,3
146,Online,116.23,0,2018-08-20,7
18,Online,86.0,0,2018-02-20,2
147,Online,129.6,0,2018-09-25,4
15,Online,97.0,1,2018-03-12,3
4,Corporate,65.0,0,2018-10-24,3
1,Online,98.0,0,2017-08-23,2
47,Online,139.95,0,2018-09-07,4
40,Online,100.16,0,2018-08-28,7
20,Online,100.0,1,2018-11-04,1
231,Offline,96.9,0,2018-08-23,7
72,Online,118.8,0,2018-10-20,3
149,Online,65.45,0,2018-11-16,4
42,Online,112.59,1,2018-09-19,2
123,Online,139.24,0,2018-10-21,7
22,Corporate,62.0,0,2017-11-17,1
167,Online,105.3,1,2018-07-30,1
46,Online,69.0,0,2017-12-26,5
45,Online,134.1,0,2018-06-29,2
29,Offline,118.0,0,2017-12-31,3
101,Online,103.5,1,2018-07-03,7
92,Online,76.5,1,2017-07-04,3
52,Online,130.0,1,2018-09-11,2
1,Corporate,65.0,0,2018-01-28,1
7,Online,119.2,0,2018-09-20,1
8,Offline,120.95,0,2018-05-29,5
203,Offline,72.25,0,2018-08-26,3
11,Online,148.0,0,2018-12-29,3
16,Online,101.0,0,2018-04-17,2
214,Online,89.75,0,2018-07-29,4
41,Online,110.09,0,2017-10-23,4
138,Online,117.91,1,2018-05-21,7
65,Online,105.9,1,2018-04-26,3
39,Online,177.3,0,2018-04-11,2
57,Online,112.8,0,2018-12-27,3
15,Online,124.0,0,2018-08-17,1
12,Offline,104.0,0,2018-05-11,4
14,Offline,100.0,0,2017-10-15,1
1,Aviation,110.0,0,2018-10-11,2
243,Online,81.76,0,2018-10-29,4
226,Offline,102.76,1,2018-10-25,3
12,Online,89.59,0,2018-12-10,5
287,Online,100.3,1,2018-09-29,4
17,Online,238.15,0,2018-09-17,4
16,Online,165.0,0,2017-09-05,3
13,Online,192.67,0,2018-03-25,3
106,Offline,72.25,0,2018-07-13,5
90,Online,127.71,0,2018-12-26,4
10,Aviation,79.0,1,2018-11-07,4
29,Offline,59.29,0,2017-09-17,7
54,Online,96.0,0,2018-11-11,3
79,Online,87.3,1,2018-04-02,2
4,Offline,81.6,0,2017-12-05,4
13,Corporate,109.0,0,2017-10-19,4
61,Online,89.25,0,2017-10-28,2
88,Online,100.72,0,2018-04-06,3
30,Online,139.28,1,2018-10-02,4
0,Online,120.0,0,2018-10-13,1
107,Online,46.63,0,2017-12-23,6
7,Online,195.7,0,2017-09-29,1
14,Offline,70.0,0,2018-03-10,2
43,Online,125.53,0,2018-04-30,2
28,Online,87.0,0,2017-12-17,1
211,Online,143.1,1,2018-10-07,2
102,Offline,105.9,0,2018-07-25,5
90,Online,119.85,0,2018-05-07,4
174,Online,115.8,1,2018-07-21,3
59,Offline,76.5,0,2017-10-15,5
43,Online,108.0,0,2018-11-03,1
91,Online,126.0,0,2018-07-20,2
4,Offline,52.5,0,2017-12-26,4
71,Offline,80.75,0,2018-06-17,2
137,Online,134.3,1,2018-07-28,4
145,Online,99.9,1,2018-08-23,5
3,Online,107.0,0,2017-11-05,1
46,Online,97.2,0,2018-11-06,1
75,Offline,75.0,0,2018-12-03,2
29,Online,96.9,0,2018-11-14,4
16,Online,160.0,0,2018-07-14,2
47,Corporate,65.0,0,2017-12-16,1
13,Online,231.0,0,2018-07-09,1
5,Offline,58.0,0,2017-12-09,3
283,Online,110.7,0,2018-12-23,3
3,Corporate,65.0,0,2018-09-18,4
79,Online,139.5,0,2018-07-11,5
228,Online,90.95,1,2018-08-27,6
27,Offline,95.0,0,2018-05-09,3
37,Offline,85.5,0,2018-06-29,1
30,Online,139.5,0,2018-09-15,1
18,Online,77.88,1,2018-02-01,6
27,Online,111.0,0,2018-04-25,1
186,Offline,80.75,0,2018-09-02,4
67,Online,137.7,1,2018-04-09,2
20,Corporate,84.0,0,2018-07-04,2
61,Offline,68.0,1,2018-11-19,3
61,Offline,78.25,0,2018-08-28,3
10,Online,90.0,0,2017-08-20,2
33,Online,121.5,1,2018-05-08,3
93,Online,72.25,0,2017-12-03,4
57,Online,81.9,1,2018-04-01,3
49,Online,192.6,1,2018-09-19,4
168,Online,144.9,1,2018-05-21,1
130,Online,76.5,1,2017-08-01,3
35,Online,95.4,1,2018-03-05,2
175,Online,121.5,1,2018-08-10,2
21,Corporate,67.0,0,2018-11-21,1
115,Offline,72.25,1,2018-07-31,3
9,Online,71.84,0,2018-03-01,3
208,Online,83.85,1,2018-10-03,1
4,Online,88.26,0,2018-12-07,4
107,Online,92.28,0,2018-05-12,5
65,Online,162.45,1,2018-06-10,10
4,Online,133.33,0,2018-10-28,3
4,Online,85.03,0,2018-02-12,3
22,Online,76.81,0,2017-09-04,3
296,Offline,81.0,0,2018-09-21,4
220,Online,118.25,1,2018-10-24,5
87,Online,51.97,0,2018-03-11,3
103,Online,99.9,0,2018-04-08,1
166,Online,103.7,1,2018-08-17,4
111,Online,129.65,0,2018-06-17,4
177,Offline,68.68,0,2018-10-30,5
31,Online,66.29,1,2018-12-03,16
3,Online,60.83,0,2018-02-13,2
89,Online,72.42,0,2018-07-11,2
68,Online,76.22,1,2018-03-29,15
9,Online,89.55,0,2018-11-26,2
61,Online,81.9,0,2017-11-14,3
7,Online,72.25,0,2017-12-04,2
38,Online,88.4,0,2018-11-27,4
4,Online,135.0,1,2018-04-10,4
46,Offline,85.5,0,2018-10-24,4
62,Online,140.4,0,2018-05-17,3
79,Offline,160.78,0,2018-12-30,2
69,Online,135.9,1,2018-09-11,2
68,Online,51.09,0,2018-02-06,4
170,Online,91.44,1,2018-09-06,3
6,Corporate,65.0,1,2018-08-08,1
26,Online,182.0,0,2018-04-13,1
57,Online,110.36,0,2018-10-15,5
45,Online,177.3,0,2018-08-16,3
30,Online,86.4,0,2018-03-04,2
67,Offline,75.0,0,2018-11-25,2
8,Online,81.7,0,2018-01-10,10
2,Aviation,110.0,1,2018-05-19,2
124,Online,156.61,1,2018-12-26,4
166,Online,100.12,1,2018-08-18,8
26,Offline,120.0,0,2018-06-08,1
40,Online,82.1,0,2018-03-07,3
6,Online,108.0,0,2018-05-08,3
48,Online,93.5,0,2018-03-20,5
217,Online,65.11,0,2018-12-05,10
126,Online,146.7,0,2018-07-23,1
169,Online,158.95,1,2018-07-03,5
39,Offline,102.0,0,2018-12-19,3
45,Online,60.98,0,2018-12-04,3
29,Online,86.45,0,2018-02-12,2
5,Online,107.67,0,2018-11-19,3
114,Offline,75.0,0,2018-06-01,3
125,Offline,89.75,0,2018-08-29,4
0,Complementary,0.0,0,2017-12-07,1
130,Offline,99.95,0,2018-09-10,5
238,Online,178.2,1,2018-06-18,1
169,Online,212.86,1,2018-08-18,2
196,Online,105.4,1,2018-09-12,7
62,Offline,60.0,0,2017-11-25,4
3,Online,169.0,0,2018-09-15,2
33,Online,71.84,0,2018-01-03,3
122,Online,105.3,1,2018-05-12,2
11,Online,110.46,0,2018-07-24,4
34,Offline,224.67,1,2017-09-23,3
161,Online,91.48,0,2018-10-02,5
303,Online,73.95,0,2018-11-18,4
13,Online,109.0,0,2018-02-13,3
3,Corporate,123.0,0,2017-10-19,3
124,Online,137.7,0,2018-11-02,4
0,Online,138.0,1,2017-08-12,2
65,Online,63.58,0,2018-11-19,4
49,Offline,60.0,0,2017-11-06,3
27,Online,105.49,1,2018-04-20,2
50,Online,126.9,1,2018-05-21,1
245,Online,107.59,1,2018-09-22,7
2,Online,0.0,0,2018-09-28,1
42,Offline,67.5,0,2018-11-04,2
96,Online,126.9,1,2018-04-29,3
24,Online,285.17,1,2018-05-21,3
9,Online,81.0,0,2018-02-17,1
1,Online,97.0,0,2018-06-23,1
15,Online,175.0,0,2018-08-14,1
28,Online,115.23,0,2018-09-27,3
191,Online,153.5,1,2018-08-14,4
143,Online,121.8,1,2018-07-19,3
270,Offline,70.0,0,2018-04-20,4
13,Online,149.33,0,2018-06-03,3
1,Online,181.0,0,2018-08-02,1
169,Online,103.5,1,2018-07-13,3
105,Online,89.3,0,2018-03-05,3
54,Online,111.0,1,2018-10-30,6
64,Online,114.3,0,2018-07-26,3
6,Online,108.05,0,2018-10-13,1
98,Online,130.5,0,2018-07-02,7
78,Online,149.4,0,2018-09-01,3
50,Online,124.0,0,2018-10-18,5
49,Online,129.2,0,2018-11-24,5
141,Online,137.7,0,2018-07-16,2
178,Online,96.3,1,2018-08-25,3
0,Online,105.34,0,2018-05-24,1
30,Online,150.3,0,2018-01-15,2
54,Online,85.5,0,2017-09-15,1
4,Online,99.0,0,2018-04-02,1
15,Corporate,65.0,0,2018-12-07,1
41,Online,80.3,0,2018-02-12,3
175,Online,65.83,1,2018-07-15,3
41,Online,117.9,0,2018-03-31,4
15,Corporate,65.0,0,2018-10-13,1
8,Online,116.33,1,2018-04-08,3
63,Online,177.75,1,2018-09-02,3
182,Online,94.5,1,2018-08-03,1
95,Offline,90.95,0,2018-05-16,2
124,Online,72.25,1,2017-12-17,3
97,Online,65.42,0,2018-03-23,4
117,Online,94.5,0,2018-05-03,2
52,Offline,80.75,0,2018-04-09,5
145,Offline,80.75,0,2018-05-18,4
71,Online,58.25,0,2018-03-14,5
82,Offline,80.75,0,2018-05-17,2
8,Online,101.0,0,2018-06-14,1
87,Online,135.15,0,2018-05-15,4
40,Online,131.4,1,2018-03-20,2
21,Online,74.48,0,2018-11-16,3
5,Online,135.0,0,2017-10-19,4
13,Offline,63.58,0,2018-03-13,5
10,Online,130.75,0,2017-10-22,4
4,Online,133.0,0,2018-02-04,2
34,Online,145.8,0,2017-09-10,3
12,Offline,110.0,1,2018-09-12,18
87,Online,74.15,1,2018-04-14,1
40,Online,83.9,0,2018-03-05,4
119,Online,121.5,1,2018-07-27,3
12,Online,117.0,0,2018-12-15,3
83,Offline,80.75,0,2018-03-28,5
70,Offline,115.6,0,2018-05-09,3
6,Online,149.0,0,2018-10-31,3
46,Online,181.8,1,2018-09-03,3
2,Online,134.75,0,2018-10-04,2
4,Online,81.0,0,2018-02-25,1
35,Online,144.9,0,2018-08-01,1
48,Online,115.5,0,2018-07-09,3
4,Offline,12.0,0,2018-12-03,3
0,Online,90.71,0,2017-09-07,5
60,Online,74.8,1,2018-11-21,4
88,Online,82.45,0,2018-03-30,7
0,Online,138.0,0,2018-12-11,1
61,Online,140.4,0,2018-05-28,2
74,Offline,68.0,0,2018-07-23,4
60,Online,121.98,1,2018-12-02,4
1,Online,181.0,0,2018-11-25,1
26,Online,91.0,1,2018-02-19,2
84,Offline,50.33,0,2018-03-05,6
7,Online,0.0,0,2018-02-15,0
12,Offline,38.67,1,2018-03-28,3
40,Offline,85.5,1,2018-10-16,4
13,Online,77.14,1,2018-11-20,4
56,Online,216.9,0,2018-08-13,3
15,Online,99.0,1,2018-09-12,1
2,Corporate,67.0,0,2018-12-14,2
0,Online,134.0,0,2018-03-26,2
31,Offline,75.0,0,2017-10-26,3
12,Online,141.0,0,2018-06-19,4
150,Online,65.83,0,2018-03-17,3
115,Online,104.4,1,2018-10-27,2
78,Online,80.75,0,2018-04-10,4
7,Online,85.85,0,2018-03-05,3
113,Online,85.0,1,2018-06-30,4
13,Offline,84.0,0,2017-09-03,4
116,Online,137.7,0,2018-07-28,1
153,Online,108.45,1,2018-07-23,4
39,Online,134.1,1,2018-03-25,4
119,Offline,83.0,0,2018-03-29,2
43,Online,86.75,1,2018-01-14,3
115,Online,132.3,1,2018-10-15,6
49,Online,168.3,1,2018-08-20,5
83,Offline,56.1,0,2017-09-30,1
2,Online,92.0,0,2018-01-28,1
84,Online,149.4,0,2018-09-27,3
22,Online,165.0,0,2018-05-21,1
50,Online,135.9,0,2018-08-16,3
29,Online,144.0,0,2018-10-28,1
86,Online,159.3,0,2018-08-07,4
120,Online,129.81,0,2018-09-11,7
57,Online,123.55,1,2018-08-29,11
13,Online,260.5,1,2018-04-25,4
47,Online,80.3,0,2018-02-19,2
113,Online,121.21,1,2018-08-06,3
130,Online,96.3,0,2018-06-27,3
0,Online,101.0,0,2017-11-03,1
179,Online,141.3,1,2018-10-07,2
116,Online,105.3,1,2018-05-05,3
24,Online,101.0,0,2018-06-23,1
83,Online,79.56,0,2018-07-25,5
8,Online,127.0,0,2018-08-28,2
7,Corporate,134.0,0,2018-09-21,1
15,Online,166.6,0,2018-05-29,4
129,Online,128.7,0,2018-08-25,2
3,Online,106.0,0,2017-08-21,2
208,Online,72.25,1,2017-11-28,3
28,Online,94.5,0,2017-10-05,1
9,Online,122.33,0,2017-09-03,6
4,Corporate,65.0,0,2018-02-15,2
104,Online,98.64,0,2018-09-05,7
49,Online,198.9,1,2018-07-20,2
85,Online,80.1,1,2018-10-27,2
35,Online,70.03,0,2018-02-25,3
0,Offline,115.0,0,2018-05-23,1
34,Online,118.96,1,2018-03-10,11
38,Online,88.0,1,2018-11-03,2
36,Online,114.3,1,2018-03-12,2
164,Offline,100.0,1,2017-10-02,2
326,Online,67.5,1,2018-11-24,3
28,Online,117.0,1,2017-09-12,3
13,Online,89.39,0,2018-12-03,6
131,Online,76.23,0,2018-08-05,2
1,Online,149.0,0,2018-09-05,2
39,Online,129.7,1,2018-09-25,1
0,Corporate,65.0,0,2018-03-15,2
96,Online,72.25,1,2017-11-28,1
1,Online,65.76,0,2018-12-05,4
62,Online,89.25,0,2017-10-08,4
5,Online,89.0,0,2018-04-19,1
124,Online,105.3,0,2018-08-01,3
14,Online,121.0,0,2018-06-08,1
3,Online,75.0,0,2017-12-04,1
72,Online,61.21,0,2018-04-04,4
40,Online,117.9,0,2018-06-29,3
22,Online,105.65,0,2017-09-05,7
26,Online,120.12,0,2018-05-20,2
56,Online,88.23,0,2018-11-10,4
8,Online,127.0,1,2018-02-05,2
127,Online,55.9,0,2018-04-16,5
17,Online,117.04,0,2018-10-07,4
28,Online,166.67,1,2018-11-11,3
10,Offline,67.0,0,2017-08-29,1
22,Online,124.0,0,2017-09-19,2
15,Online,236.14,1,2018-09-18,14
17,Online,97.77,1,2017-08-28,14
0,Online,114.0,0,2017-09-13,1
62,Online,71.6,0,2018-03-03,5
237,Online,95.56,1,2018-12-28,7
116,Offline,76.0,0,2018-05-04,4
6,Online,159.0,0,2018-09-22,1
4,Online,77.0,0,2018-01-09,1
244,Online,68.25,0,2018-10-30,3
0,Online,74.14,0,2018-05-16,1
0,Online,133.0,1,2017-09-04,2
65,Online,0.0,0,2018-03-23,0
4,Online,120.0,0,2017-09-14,1
90,Online,135.9,1,2018-08-27,1
74,Online,177.3,0,2018-11-07,4
86,Online,90.23,1,2018-10-31,4
60,Online,123.3,0,2018-09-01,3
246,Online,58.36,1,2018-12-27,7
61,Online,168.3,1,2018-08-17,2
18,Offline,47.67,1,2018-02-22,6
4,Online,151.5,0,2018-10-07,2
0,Online,106.2,0,2018-09-13,3
8,Online,187.43,0,2017-09-23,7
25,Online,96.0,0,2018-03-11,4
138,Online,141.3,0,2018-08-17,5
113,Online,186.3,0,2018-08-11,2
32,Online,108.3,1,2018-04-13,3
109,Offline,43.5,0,2017-12-28,4
90,Online,99.45,1,2018-04-23,7
216,Corporate,137.0,1,2018-11-22,1
198,Online,90.95,0,2018-07-01,7
43,Offline,60.0,0,2017-11-04,3
0,Online,119.0,0,2018-07-24,2
166,Online,0.0,0,2018-04-21,0
128,Online,65.83,0,2018-06-30,2
1,Online,90.0,0,2018-11-12,3
63,Online,110.7,0,2018-06-26,5
172,Corporate,106.0,1,2018-08-16,3
1,Online,136.0,0,2018-06-11,2
0,Online,129.0,0,2018-08-30,3
12,Online,164.0,0,2017-09-22,4
47,Offline,60.0,0,2017-11-11,3
69,Online,135.9,0,2018-08-15,6
0,Corporate,110.0,0,2018-09-27,1
1,Online,86.0,0,2018-02-25,1
38,Online,207.9,1,2018-09-11,5
0,Online,147.0,0,2018-06-22,1
1,Corporate,67.0,0,2018-03-30,3
0,Online,146.0,0,2017-08-13,4
70,Online,105.3,1,2018-04-22,2
3,Online,95.0,0,2018-04-21,1
120,Online,97.55,0,2018-06-30,2
179,Online,97.7,0,2018-06-03,2
56,Online,140.4,0,2018-05-13,2
84,Online,170.1,0,2018-06-15,5
77,Online,105.3,1,2018-06-26,1
59,Offline,75.0,0,2018-11-18,4
5,Corporate,65.0,0,2018-05-10,1
12,Online,160.2,0,2018-09-28,2
34,Online,117.0,0,2018-09-25,3
35,Online,127.62,1,2018-08-29,5
39,Online,76.5,1,2018-03-11,3
43,Offline,75.0,0,2018-11-01,3
223,Online,73.96,1,2018-09-30,5
4,Online,122.0,0,2017-08-17,4
0,Online,190.0,0,2018-09-22,1
3,Online,81.0,0,2017-08-10,4
6,Aviation,95.0,0,2018-04-20,2
5,Online,184.0,0,2018-09-13,2
25,Online,165.5,0,2018-09-15,4
84,Online,89.25,0,2017-10-16,3
118,Online,139.5,0,2018-08-15,3
99,Online,76.5,1,2017-08-21,7
12,Online,119.0,0,2018-05-23,3
42,Online,150.3,1,2018-07-08,1
60,Online,127.8,0,2018-10-11,1
106,Online,105.28,1,2018-05-08,7
36,Online,89.89,0,2017-11-25,4
0,Offline,75.0,0,2017-07-27,3
7,Corporate,79.0,0,2018-12-19,4
29,Online,85.59,0,2018-04-24,2
63,Online,65.66,0,2018-02-15,4
174,Online,99.45,0,2018-08-12,4
70,Online,87.48,0,2018-10-30,5
11,Online,103.1,0,2018-12-19,4
180,Online,80.1,1,2018-10-28,2
237,Online,80.75,1,2017-09-14,3
280,Online,94.95,1,2018-08-12,1
5,Online,146.0,1,2018-03-26,7
7,Corporate,84.0,0,2018-07-25,1
54,Online,100.2,0,2017-10-03,3
11,Online,95.0,1,2018-05-23,1
75,Corporate,65.0,0,2018-06-15,1
1,Offline,98.1,0,2017-09-30,2
126,Online,76.5,0,2017-07-27,3
6,Online,73.15,0,2017-11-16,4
40,Offline,38.67,0,2017-12-26,3
110,Online,93.08,0,2018-04-10,4
49,Online,109.8,0,2018-08-28,1
115,Online,151.2,1,2018-10-09,3
57,Online,89.78,0,2018-03-27,7
3,Corporate,75.0,0,2018-03-11,1
57,Online,87.32,0,2018-06-27,1
188,Online,116.7,1,2018-08-30,3
73,Online,90.9,1,2018-04-07,2
14,Online,97.02,0,2017-10-15,2
85,Offline,86.36,0,2018-07-05,3
42,Online,80.3,0,2018-02-20,1
47,Online,127.0,1,2018-10-02,2
31,Online,111.6,1,2017-10-02,1
96,Online,87.3,0,2018-04-18,3
80,Online,86.4,1,2018-11-21,2
3,Online,162.5,0,2017-09-19,6
16,Online,64.22,0,2018-02-05,3
95,Online,104.4,0,2018-10-27,3
9,Offline,36.25,0,2017-08-15,3
7,Online,138.0,0,2017-09-11,2
179,Offline,81.25,0,2018-07-19,3
84,Online,60.98,0,2018-11-05,1
65,Online,88.0,0,2018-11-11,1
20,Online,102.4,0,2018-12-23,4
116,Online,142.2,0,2018-08-04,4
12,Offline,85.0,1,2018-07-17,1
23,Online,119.36,0,2018-12-30,5
26,Online,60.0,0,2018-01-27,5
148,Offline,96.9,1,2018-08-21,3
35,Online,125.1,1,2018-03-24,3
15,Online,129.0,0,2018-08-21,1
20,Online,160.0,0,2018-07-05,1
33,Online,161.1,0,2018-07-17,5
43,Online,108.0,0,2018-10-10,3
62,Offline,63.3,0,2017-11-01,4
172,Online,100.3,1,2018-06-04,4
69,Online,79.05,1,2018-03-16,5
0,Offline,45.0,0,2018-04-08,1
0,Online,97.0,0,2018-03-05,1
77,Online,164.3,0,2018-06-19,2
142,Online,109.2,0,2018-06-09,3
58,Online,159.3,1,2018-05-18,1
0,Online,0.0,0,2018-07-12,1
109,Online,107.1,0,2018-08-12,3
68,Offline,71.33,0,2017-12-31,3
1,Online,87.0,0,2018-12-12,2
57,Online,54.98,0,2018-03-10,1
114,Online,74.8,1,2018-11-13,6
20,Online,98.4,0,2017-10-12,6
9,Online,89.0,0,2018-06-13,1
89,Online,107.1,0,2018-06-26,5
133,Online,100.8,1,2018-08-23,4
125,Online,94.5,1,2018-05-06,2
6,Online,105.25,0,2017-12-07,1
3,Online,104.72,0,2018-05-02,1
144,Online,146.7,0,2018-08-04,2
30,Online,157.5,1,2018-10-05,3
35,Online,69.53,0,2018-02-15,2
18,Online,68.07,0,2018-12-18,4
124,Online,94.5,1,2018-08-01,4
26,Online,153.0,1,2018-04-10,4
63,Online,114.3,0,2018-07-18,2
47,Online,163.95,0,2018-08-23,6
104,Online,117.29,0,2018-06-02,3
48,Online,69.5,0,2018-03-05,3
1,Online,120.0,0,2018-01-25,2
8,Online,85.96,1,2018-03-04,4
6,Online,130.0,0,2018-01-30,5
31,Online,81.9,1,2018-03-09,1
6,Online,79.0,0,2018-02-20,1
130,Online,94.5,0,2018-05-22,3
80,Online,126.9,0,2018-05-02,2
82,Online,85.5,1,2018-06-23,1
43,Online,110.2,0,2018-12-04,3
1,Online,95.0,0,2018-11-26,1
47,Online,101.15,0,2018-03-28,4
101,Offline,84.58,0,2018-07-11,3
134,Online,103.5,0,2018-08-11,3
10,Online,129.0,1,2018-09-03,1
208,Offline,81.0,0,2018-12-27,1
7,Online,237.0,0,2018-09-09,5
76,Online,72.25,0,2018-03-18,4
35,Online,111.83,1,2018-08-28,4
41,Online,62.0,0,2018-01-20,4
0,Online,100.0,0,2017-11-09,3
0,Online,176.0,0,2018-05-23,1
3,Online,156.33,0,2018-12-01,3
58,Online,109.65,1,2018-05-12,4
8,Offline,95.0,0,2018-04-29,3
62,Offline,75.0,0,2018-11-21,4
223,Online,85.5,1,2018-08-15,1
3,Online,161.33,0,2018-09-15,3
135,Online,103.5,0,2018-08-09,3
122,Online,118.8,0,2018-08-02,3
210,Offline,146.0,1,2018-07-27,2
7,Online,81.0,0,2018-02-05,1
4,Online,151.0,0,2018-07-14,1
225,Online,92.65,1,2018-10-05,4
37,Online,99.0,1,2018-09-02,1
71,Online,68.07,0,2018-11-28,4
12,Corporate,65.0,0,2018-07-30,1
78,Offline,100.0,1,2018-03-25,3
68,Online,137.4,0,2018-06-03,3
0,Complementary,170.0,0,2017-09-26,2
92,Offline,80.75,0,2018-06-26,3
104,Online,96.3,0,2018-04-26,2
40,Online,77.23,1,2018-02-14,7
64,Online,94.5,0,2018-04-08,1
69,Online,107.95,0,2018-04-23,4
2,Corporate,86.0,0,2018-12-14,3
41,Offline,68.0,0,2018-11-27,4
2,Online,96.0,0,2018-01-07,3
41,Offline,80.75,0,2018-09-18,4
197,Online,86.9,1,2018-08-11,1
104,Online,74.8,1,2018-11-22,5
19,Offline,104.0,0,2018-09-19,1
141,Online,108.29,0,2018-05-29,5
130,Online,114.3,0,2018-05-06,2
162,Offline,96.9,0,2018-08-11,5
138,Online,121.5,0,2018-07-25,3
59,Online,127.8,1,2018-04-15,2
